X,Y,tld,domain,lat,lon
-0.19614,51.69802,london,lonelyhearts,51.69802,-0.19614
-0.045816,51.69771,london,marqueecarpets,51.69771,-0.045816
-0.168925,51.697536,london,tightsandmore,51.697536,-0.168925
-0.287058,51.69724,london,smilepod,51.69724,-0.287058
-0.201431,51.69704,london,jdrycleaning,51.69704,-0.201431
-0.288183,51.696969,london,blockeddrainsnorth,51.696969,-0.288183
-0.288183,51.696969,london,drainclearance,51.696969,-0.288183
-0.029515,51.69688,london,ductcleaning,51.69688,-0.029515
-0.191457,51.696779,london,mainstreet,51.696779,-0.191457
-0.191457,51.696779,london,raineandco,51.696779,-0.191457
-0.150764,51.696505,london,windowexchange,51.696505,-0.150764
-0.199329,51.695308,london,pantelli,51.695308,-0.199329
-0.179298,51.695089,london,ramada,51.695089,-0.179298
-0.171179,51.694756,london,lovedon,51.694756,-0.171179
-0.175651,51.694727,london,thechefspantry,51.694727,-0.175651
-0.287396,51.693648,london,gravitas-signature,51.693648,-0.287396
-0.1756552,51.6934249,london,dreamcatchers,51.6934249,-0.1756552
-0.2003943,51.6927878,london,ecochauffeurrentals,51.6927878,-0.2003943
0.045037,51.69272,london,treatmentathome,51.69272,0.045037
0.045037,51.69272,london,leicesterhouse,51.69272,0.045037
0.045037,51.69272,london,orlahealthcare,51.69272,0.045037
0.045037,51.69272,london,lukedoonan,51.69272,0.045037
0.045037,51.69272,london,pro-vent,51.69272,0.045037
0.045037,51.69272,london,lukedoonaninteriors,51.69272,0.045037
0.045037,51.69272,london,civilisedliving,51.69272,0.045037
0.045037,51.69272,london,consciousimage,51.69272,0.045037
0.045037,51.69272,london,lukedoonanpropertyexpert,51.69272,0.045037
0.045037,51.69272,london,princedooleyproductions,51.69272,0.045037
-0.114855,51.692517,london,georgianandvictorianpropertyrestoration,51.692517,-0.114855
-0.316596,51.692461,london,hayleyparadise,51.692461,-0.316596
-0.314182,51.692381,london,melissaclark,51.692381,-0.314182
-0.292083,51.692152,london,suitsinthecity,51.692152,-0.292083
-0.199543,51.692119,london,ecochauffeurhire,51.692119,-0.199543
-0.199543,51.692119,london,hybridrentals,51.692119,-0.199543
-0.199543,51.692119,london,chauffeurrentals,51.692119,-0.199543
-0.199543,51.692119,london,ecorental,51.692119,-0.199543
-0.31877,51.690775,london,bestethnictv,51.690775,-0.31877
-0.31877,51.690775,london,bestpakistanitv,51.690775,-0.31877
-0.31877,51.690775,london,bestindiantv,51.690775,-0.31877
